file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
chair/chair_0350.ply,1_front,1,238.27,103.27,118.56,116.87,112.90,6.84
bookshelf/bookshelf_0069.ply,1_front,1,175.20,4.80,31.33,155.50,63.88,65.69
bookshelf/bookshelf_0242.ply,2_fronts,2,68.36,78.75,89.85,43.40,70.67,19.81
bench/bench_0124.ply,1_front,1,78.37,34.13,31.67,30.80,32.20,1.41
chair/chair_0474.ply,1_front,1,21.05,43.55,43.37,43.92,43.62,0.23
chair/chair_0167.ply,1_front,1,264.87,174.87,165.95,168.12,169.65,3.80
chair/chair_0866.ply,1_front,1,21.94,44.44,26.99,47.69,39.71,9.09
bookshelf/bookshelf_0273.ply,1_front,1,112.90,134.60,139.58,45.36,106.51,43.29
glass_box/glass_box_0027.ply,4_fronts,4,18.05,40.55,31.48,40.30,37.44,4.22
chair/chair_0959.ply,1_front,1,171.64,8.36,23.06,17.07,16.16,6.04
glass_box/glass_box_0248.ply,4_fronts,4,330.98,52.99,27.15,30.85,37.00,11.41
glass_box/glass_box_0242.ply,4_fronts,4,191.21,50.60,22.01,23.37,32.00,13.17
bathtub/bathtub_0149.ply,2_fronts,2,20.48,78.75,88.11,40.70,69.19,20.50
bench/bench_0142.ply,1_front,1,182.82,177.18,4.77,171.74,117.90,80.02
bench/bench_0108.ply,2_fronts,2,306.48,81.48,84.88,71.72,79.36,5.58
bench/bench_0058.ply,2_fronts,2,24.67,78.75,88.13,51.75,72.88,15.42
bookshelf/bookshelf_0122.ply,1_front,1,24.47,133.03,27.85,54.45,71.78,44.66
bench/bench_0051.ply,2_fronts,2,310.25,78.75,60.00,82.16,73.64,9.75
glass_box/glass_box_0163.ply,4_fronts,4,145.36,33.75,83.84,22.44,46.68,26.68
chair/chair_0797.ply,1_front,1,338.97,43.53,21.00,46.78,37.10,11.46
airplane/airplane_0135.ply,1_front,1,205.08,47.58,50.07,20.06,39.24,13.60
bookshelf/bookshelf_0081.ply,1_front,1,208.41,50.91,77.69,113.79,80.80,25.76
chair/chair_0770.ply,1_front,1,14.31,36.81,21.68,33.35,30.61,6.47
bookshelf/bookshelf_0197.ply,2_fronts,2,29.51,78.75,86.54,63.45,76.25,9.59
glass_box/glass_box_0237.ply,4_fronts,4,236.65,50.83,21.40,23.01,31.75,13.51
wardrobe/wardrobe_0070.ply,2_fronts,2,203.48,89.02,58.46,52.10,66.53,16.11
chair/chair_0281.ply,1_front,1,113.89,133.61,174.70,125.12,144.48,21.65
glass_box/glass_box_0200.ply,4_fronts,4,93.88,39.38,12.83,8.15,20.12,13.75
chair/chair_0806.ply,1_front,1,241.10,106.10,124.67,120.56,117.11,7.96
airplane/airplane_0068.ply,1_front,1,113.11,134.39,149.35,67.56,117.10,35.56
bookshelf/bookshelf_0216.ply,1_front,1,95.62,151.88,161.95,168.32,160.72,6.77
chair/chair_0927.ply,1_front,1,47.12,92.12,95.49,96.87,94.83,2.00
airplane/airplane_0210.ply,1_front,1,232.38,97.38,102.10,177.00,125.49,36.47
airplane/airplane_0181.ply,1_front,1,164.60,37.90,30.34,115.07,61.11,38.29
chair/chair_0826.ply,1_front,1,334.45,131.95,68.82,52.81,84.52,34.16
chair/chair_0217.ply,1_front,1,336.86,45.64,44.71,50.12,46.82,2.36
bathtub/bathtub_0088.ply,2_fronts,2,3.35,78.75,89.39,6.57,58.24,36.79
chair/chair_0127.ply,4_fronts,4,223.62,45.69,88.85,0.31,44.95,36.15
chair/chair_0545.ply,1_front,1,202.68,45.18,31.43,40.07,38.90,5.67
chair/chair_0976.ply,1_front,1,35.99,80.99,74.53,72.23,75.92,3.71
bookshelf/bookshelf_0107.ply,2_fronts,2,193.55,78.75,88.98,33.18,66.97,24.26
chair/chair_0784.ply,1_front,1,182.12,2.12,7.56,5.03,4.90,2.22
chair/chair_0088.ply,1_front,1,47.68,115.18,104.42,97.78,105.79,7.17
bench/bench_0036.ply,2_fronts,2,125.64,78.75,83.00,71.77,77.84,4.63
chair/chair_0283.ply,1_front,1,24.76,132.74,44.98,52.24,76.65,39.77
chair/chair_0685.ply,1_front,1,87.94,177.94,177.09,172.84,175.95,2.23
chair/chair_0095.ply,1_front,1,102.60,77.40,163.89,162.73,134.67,40.50
airplane/airplane_0142.ply,1_front,1,157.75,44.75,45.52,30.07,40.11,7.11
flower_pot/flower_pot_0010.ply,4_fronts,4,195.56,39.38,33.27,34.16,35.60,2.69
bench/bench_0033.ply,2_fronts,2,108.91,78.75,89.52,38.97,69.08,21.74
airplane/airplane_0097.ply,1_front,1,354.19,16.69,161.24,172.65,116.86,70.98
glass_box/glass_box_0250.ply,4_fronts,4,290.56,55.28,78.45,44.29,59.34,14.24
bench/bench_0175.ply,2_fronts,2,190.42,78.75,88.86,25.12,64.24,27.97
bench/bench_0065.ply,1_front,1,240.43,52.07,73.35,86.09,70.50,14.03
bench/bench_0037.ply,2_fronts,2,199.66,78.75,89.25,43.95,70.65,19.36
airplane/airplane_0034.ply,1_front,1,335.43,47.07,42.08,6.64,31.93,18.00
airplane/airplane_0061.ply,1_front,1,37.29,97.71,68.30,77.43,81.14,12.29
bookshelf/bookshelf_0249.ply,1_front,1,316.13,88.87,93.18,91.71,91.25,1.79
airplane/airplane_0076.ply,1_front,1,95.21,5.21,138.89,157.83,100.64,67.92
chair/chair_0899.ply,1_front,1,320.30,84.70,75.28,79.41,79.80,3.86
chair/chair_0851.ply,1_front,1,267.27,177.27,167.46,177.66,174.13,4.72
glass_box/glass_box_0002.ply,4_fronts,4,55.96,50.48,27.04,23.77,33.76,11.90
chair/chair_0176.ply,1_front,1,101.43,168.57,132.06,156.46,152.36,15.18
chair/chair_0228.ply,1_front,1,75.83,165.83,147.60,149.54,154.32,8.17
chair/chair_0234.ply,1_front,1,123.44,124.06,102.59,111.97,112.88,8.79
bathtub/bathtub_0140.ply,2_fronts,2,247.50,78.75,89.92,48.32,72.33,17.58
chair/chair_0082.ply,1_front,1,307.05,97.95,107.51,104.00,103.16,3.95
glass_box/glass_box_0145.ply,4_fronts,4,181.95,34.72,3.41,3.43,13.85,14.76
bathtub/bathtub_0143.ply,2_fronts,2,90.40,79.15,88.51,0.03,55.90,39.69
